skill
python
java
c++
c#
javascript
typescript
php
swift
kotlin
react
angular
vue
node.js
django
flask
spring
express
html
css
bootstrap
jquery
rest api
graphql
sql
mysql
postgresql
mongodb
oracle
sqlite
nosql
aws
azure
google cloud
docker
kubernetes
jenkins
terraform
git
github
gitlab
bitbucket
jira
confluence
machine learning
deep learning
nlp
computer vision
ai
tensorflow
pytorch
keras
scikit-learn
pandas
numpy
data analysis
data science
data visualization
tableau
power bi
agile
scrum
kanban
waterfall
sdlc
devops
ci/cd
test automation
unit testing
java spring
java hibernate
python flask
python django
natural language processing
opencv
tensorflow
pytorch
keras
docker
kubernetes
aws
azure
gcp
rest api
microservices
serverless
data analysis
data science
bi
data engineering
data visualization
sql
mysql
postgresql
mongodb
redis
cloud computing
big data
hadoop
spark
kafka
web development
full stack
front end
back end
ui/ux
responsive design
mobile development
ios
android
react native
flutter
swift
kotlin
react
angular
vue.js
node.js
express.js
javascript
typescript
html
css
sass
bootstrap
tailwind css
jquery
web security
testing
qa
automation testing
selenium
cucumber
jenkins
ci/cd
git
github
gitlab
bitbucket
jira
confluence
project management
agile
scrum
kanban
waterfall
business analysis
systems analysis 
